time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2,Mode2_f0,Mode2_ql,Mode2_c1,Mode2_c2,Mode3_f0,Mode3_ql,Mode3_c1,Mode3_c2,Mode4_f0,Mode4_ql,Mode4_c1,Mode4_c2
9186.083406,501.053,70.7348,499.91,99.7673,7099971527.473946,7331.918713519129,0.0,0.0,7290669864.652401,8818.947973545883,0.0,0.0,7852280286.831667,5769.904727297658,0.0,0.0,8024575824.200451,6706.455667308189,0.0,0.0
9191.000779,500.757,70.729,500.113,99.604,7099983305.7710705,7324.023215741186,0.0,0.0,7290682077.222023,8814.371501550153,0.0,0.0,7852293682.111563,5765.879647287574,0.0,0.0,8024588718.696735,6702.424508489816,0.0,0.0
9195.839791,499.83,70.7246,500.263,99.434,7099993804.4081545,7327.8810584503835,0.0,0.0,7290692628.248314,8811.378188787332,0.0,0.0,7852305229.35202,5763.822949907312,0.0,0.0,8024600851.096637,6700.716600908782,0.0,0.0
9200.69289,499.566,70.7243,500.382,99.2747,7100004652.189056,7319.77658430898,0.0,0.0,7290703585.922211,8809.958096883116,0.0,0.0,7852317625.117736,5765.558986735925,0.0,0.0,8024613205.010338,6700.171170909337,0.0,0.0
9205.528593,498.648,70.7194,500.496,99.127,7100014930.930949,7316.631641785307,0.0,0.0,7290714596.738473,8817.937553338274,0.0,0.0,7852328985.161021,5761.710951541297,0.0,0.0,8024624997.630896,6698.77607484089,0.0,0.0
9210.364487,498.963,70.7165,500.615,98.9774,7100025740.127481,7318.250147677045,0.0,0.0,7290725039.500364,8808.937968217724,0.0,0.0,7852340897.013261,5758.94294945774,0.0,0.0,8024636485.711209,6691.7194650807205,0.0,0.0
9215.201477,499.71,70.7092,500.721,98.8226,7100036475.151693,7314.0027992731,0.0,0.0,7290735924.97251,8800.603906260252,0.0,0.0,7852352582.596316,5756.92602741545,0.0,0.0,8024648843.914085,6692.605353272019,0.0,0.0
9220.018515,499.923,70.7025,500.708,98.6699,7100047280.116299,7311.344376624416,0.0,0.0,7290747419.374868,8799.205600487781,0.0,0.0,7852364238.427158,5753.002187010837,0.0,0.0,8024661223.233871,6688.383075963331,0.0,0.0
9224.905759,500.279,70.6992,500.714,98.5209,7100057906.331587,7309.345197118693,0.0,0.0,7290758160.775126,8788.940628533375,0.0,0.0,7852376649.8852625,5753.858788488826,0.0,0.0,8024673383.387937,6686.648684753215,0.0,0.0
9229.77407,500.568,70.6919,500.91,98.378,7100068438.194209,7304.81258897581,0.0,0.0,7290768782.212431,8790.911504709964,0.0,0.0,7852388318.765065,5752.097547117595,0.0,0.0,8024685039.200219,6684.966714696884,0.0,0.0
9234.580587,500.005,70.6876,501.014,98.2236,7100079372.275834,7305.2423094540245,0.0,0.0,7290780014.200175,8778.530841211552,0.0,0.0,7852400176.862701,5748.800834298803,0.0,0.0,8024697178.573119,6680.6026364849695,0.0,0.0
9239.486217,498.762,70.6812,501.174,98.063,7100090294.10602,7303.996004371208,0.0,0.0,7290791781.556891,8783.410541502008,0.0,0.0,7852412401.984038,5750.197120074786,0.0,0.0,8024710002.537293,6678.678953829694,0.0,0.0
9244.663929,499.209,70.6756,501.368,97.9024,7100101994.765038,7301.033630689034,0.0,0.0,7290803073.838923,8777.11283390084,0.0,0.0,7852425453.367648,5748.929665626339,0.0,0.0,8024722396.752705,6674.805757195935,0.0,0.0
9249.483687,497.11,70.6693,501.636,97.7568,7100112855.990606,7297.698324631436,0.0,0.0,7290814326.528784,8783.530358732432,0.0,0.0,7852437777.032752,5736.392265997941,0.0,0.0,8024735633.844604,6673.744531866541,0.0,0.0
9254.680907,496.434,70.6634,501.729,97.5912,7100124163.782461,7289.352200258601,0.0,0.0,7290826333.476247,8776.987853547873,0.0,0.0,7852450146.98615,5741.67105575527,0.0,0.0,8024747764.717397,6669.368316341827,0.0,0.0
9259.538937,498.157,70.6576,501.755,97.4432,7100135179.830163,7293.962068040155,0.0,0.0,7290837702.379343,8759.62389465489,0.0,0.0,7852461887.43433,5735.02163484332,0.0,0.0,8024760193.084461,6667.562836125414,0.0,0.0
9264.396355,497.059,70.6513,501.715,97.2922,7100145847.547069,7291.245842504009,0.0,0.0,7290848429.768367,8752.988940732912,0.0,0.0,7852474177.197909,5736.526054581174,0.0,0.0,8024772564.137348,6664.654024681169,0.0,0.0
9269.243762,499.696,70.647,501.705,97.1455,7100157186.683381,7291.16148539911,0.0,0.0,7290859901.652911,8760.193781592376,0.0,0.0,7852486145.573951,5732.900976757963,0.0,0.0,8024784841.477557,6662.182281634028,0.0,0.0
9274.09121,499.676,70.6418,501.69,96.987,7100167858.088372,7288.774575460668,0.0,0.0,7290870894.281135,8762.509212882193,0.0,0.0,7852499101.781308,5730.226668846158,0.0,0.0,8024797240.976786,6659.154871859537,0.0,0.0
9278.968617,500.482,70.6336,501.665,96.8434,7100179340.869078,7281.418256045642,0.0,0.0,7290882356.8445215,8756.191988862163,0.0,0.0,7852510774.039264,5729.914825643189,0.0,0.0,8024809984.070306,6652.670238297832,0.0,0.0
9283.786121,500.654,70.6266,501.559,96.693,7100190019.748303,7274.743448505678,0.0,0.0,7290894669.203011,8745.800029443199,0.0,0.0,7852522271.473449,5727.416384930328,0.0,0.0,8024821676.538292,6654.221611171912,0.0,0.0
9288.723541,500.694,70.622,501.443,96.5301,7100201332.486758,7276.0700749268635,0.0,0.0,7290904494.146308,8747.152717116362,0.0,0.0,7852535067.363365,5722.487052785523,0.0,0.0,8024834546.871807,6649.816650971299,0.0,0.0
9293.55107,499.972,70.617,501.278,96.3832,7100211979.973967,7272.613946882007,0.0,0.0,7290916709.636862,8745.356203723508,0.0,0.0,7852548148.5383415,5723.309072968939,0.0,0.0,8024847314.357032,6645.9471995350905,0.0,0.0
9298.36851,499.056,70.6095,501.167,96.2274,7100223295.55577,7272.767154103611,0.0,0.0,7290927740.616117,8740.483814123683,0.0,0.0,7852559569.154795,5716.407650524903,0.0,0.0,8024859805.478783,6640.448096157719,0.0,0.0
9303.225895,498.102,70.6027,501.051,96.0739,7100234922.134175,7268.641333383435,0.0,0.0,7290939246.319372,8737.295823680652,0.0,0.0,7852571927.27771,5717.797391621434,0.0,0.0,8024872244.787619,6639.607344377264,0.0,0.0
9308.083403,497.899,70.5983,501.008,95.9267,7100246114.469097,7279.280781371957,0.0,0.0,7290950718.851311,8727.357199866368,0.0,0.0,7852584257.436226,5709.953201054098,0.0,0.0,8024885021.3699875,6635.887647651728,0.0,0.0
9312.930824,497.638,70.5931,500.969,95.779,7100257006.908992,7261.674218841268,0.0,0.0,7290962598.328291,8718.769309631512,0.0,0.0,7852596571.604126,5713.454133509563,0.0,0.0,8024897337.432594,6632.544808326031,0.0,0.0
9317.778215,497.776,70.5833,500.925,95.6183,7100267896.843732,7258.399537432194,0.0,0.0,7290973678.567961,8722.775555339693,0.0,0.0,7852609024.187247,5709.5891708992385,0.0,0.0,8024910371.905541,6625.48825463117,0.0,0.0
9322.615646,497.414,70.5829,500.88,95.467,7100279287.543381,7253.230171151304,0.0,0.0,7290984760.612575,8720.461218017143,0.0,0.0,7852621417.894649,5704.217907499539,0.0,0.0,8024922986.237302,6625.396305621681,0.0,0.0
9327.46321,498.492,70.5756,500.839,95.2964,7100291217.984216,7250.002230201188,0.0,0.0,7290996830.045548,8710.363079449893,0.0,0.0,7852634561.5456505,5704.722033804185,0.0,0.0,8024935552.500171,6620.804803744345,0.0,0.0
9332.31069,499.04,70.5742,500.747,95.1439,7100301627.901674,7248.952351111081,0.0,0.0,7291008721.366796,8689.048263486966,0.0,0.0,7852646667.307479,5696.49635475791,0.0,0.0,8024948099.832999,6616.33381623638,0.0,0.0
9337.208139,498.11,70.566,500.645,94.9902,7100313521.133423,7239.035597438227,0.0,0.0,7291020050.242439,8701.401770673403,0.0,0.0,7852658801.946361,5691.672489439339,0.0,0.0,8024960807.941309,6613.4253902781375,0.0,0.0
9342.055545,497.364,70.5594,500.503,94.8358,7100324310.828519,7238.309621838268,0.0,0.0,7291031191.165299,8693.090377212426,0.0,0.0,7852671552.371321,5692.101200786328,0.0,0.0,8024973704.3508005,6612.252890691829,0.0,0.0
9346.883066,497.173,70.5553,500.351,94.6763,7100335742.323343,7233.276692972164,0.0,0.0,7291043062.023096,8697.263293249638,0.0,0.0,7852684217.963466,5690.296055182764,0.0,0.0,8024986819.68971,6605.227330379467,0.0,0.0
9351.72048,497.485,70.5478,500.434,94.514,7100347633.159731,7227.062445123579,0.0,0.0,7291054575.512482,8685.350839761788,0.0,0.0,7852696427.953618,5684.92756952073,0.0,0.0,8024999605.552239,6601.36168966976,0.0,0.0
9356.577882,495.804,70.5433,500.464,94.3628,7100359091.683548,7224.427916064016,0.0,0.0,7291066435.416095,8676.677575418722,0.0,0.0,7852709520.039429,5682.131852828143,0.0,0.0,8025012467.628059,6598.837219820056,0.0,0.0
9361.425289,492.31,70.5356,500.231,94.1995,7100369748.568516,7223.80647301886,0.0,0.0,7291078340.914455,8666.444782095845,0.0,0.0,7852722398.684205,5678.6386063452255,0.0,0.0,8025025328.894098,6589.90125058833,0.0,0.0
9366.262701,498.854,70.5356,500.086,94.0333,7100381812.731646,7219.033321260284,0.0,0.0,7291089703.070426,8657.142907606536,0.0,0.0,7852734851.129379,5676.15873200448,0.0,0.0,8025038404.870603,6587.268411712123,0.0,0.0
9371.120102,497.956,70.5293,499.864,93.8862,7100393586.122149,7213.429111672184,0.0,0.0,7291101674.223677,8665.241618381155,0.0,0.0,7852747477.309579,5673.085707113795,0.0,0.0,8025050960.707604,6580.248498847245,0.0,0.0
9375.957517,497.376,70.524,499.769,93.742,7100404964.281029,7210.710354097144,0.0,0.0,7291113521.73876,8658.494797677375,0.0,0.0,7852760071.800368,5664.225890948359,0.0,0.0,8025064306.938466,6579.266703589586,0.0,0.0
9380.834916,496.396,70.5197,499.7,93.593,7100416666.287567,7204.155142355414,0.0,0.0,7291125787.515479,8657.15162512034,0.0,0.0,7852773145.808392,5663.716346246984,0.0,0.0,8025077488.351837,6574.2097117224475,0.0,0.0
9385.742346,479.068,70.5168,499.625,93.4416,7100427896.004456,7192.842025181083,0.0,0.0,7291137659.245483,8639.15423571466,0.0,0.0,7852786621.235847,5656.480393127779,0.0,0.0,8025090771.615083,6569.202826572421,0.0,0.0
9390.589773,497.66,70.513,499.696,93.2912,7100439581.277838,7195.695831632566,0.0,0.0,7291149577.565652,8635.41426877223,0.0,0.0,7852799209.903089,5651.688468010897,0.0,0.0,8025104061.173533,6561.361668010777,0.0,0.0
9395.437745,498.268,70.5107,499.67,93.1126,7100451429.84676,7189.830449585938,0.0,0.0,7291161487.030977,8625.805921102188,0.0,0.0,7852812548.65648,5649.931023957906,0.0,0.0,8025116702.291956,6558.1655271498885,0.0,0.0
9400.295218,479.631,70.5019,499.587,92.9507,7100463311.450224,7178.9151427892275,0.0,0.0,7291173702.76694,8610.681446976127,0.0,0.0,7852825210.7824,5644.262680066109,0.0,0.0,8025130435.192642,6551.0976266593525,0.0,0.0
9405.142625,496.669,70.5019,499.684,92.7882,7100475037.313892,7183.285847704782,0.0,0.0,7291185522.959745,8618.897124259604,0.0,0.0,7852838476.0130415,5642.107456694234,0.0,0.0,8025144235.754104,6548.518338707812,0.0,0.0
9410.010007,498.657,70.498,499.748,92.6231,7100486714.310977,7173.760742723278,0.0,0.0,7291197927.804546,8606.071003263556,0.0,0.0,7852851476.13519,5637.423388072366,0.0,0.0,8025157401.132999,6541.770152252554,0.0,0.0
9414.857429,498.698,70.4965,500.054,92.4563,7100498531.120772,7164.962628884332,0.0,0.0,7291210194.542595,8599.542977346942,0.0,0.0,7852865138.6687975,5631.119461802494,0.0,0.0,8025170696.363755,6534.593691546979,0.0,0.0
9419.694842,498.876,70.4912,500.091,92.2877,7100510786.612128,7154.927516184903,0.0,0.0,7291221916.633469,8581.281102368788,0.0,0.0,7852878229.30349,5625.826686449985,0.0,0.0,8025184146.211987,6527.384811139951,0.0,0.0
9424.542317,499.915,70.4888,500.219,92.1197,7100522843.753074,7155.498842646208,0.0,0.0,7291234277.404197,8568.938434686695,0.0,0.0,7852891468.759002,5620.355032482417,0.0,0.0,8025197777.485789,6522.975147824744,0.0,0.0
9429.399841,486.893,70.4841,500.06,91.95,7100534429.283217,7145.287513096441,0.0,0.0,7291246896.40587,8576.794542900721,0.0,0.0,7852904621.008645,5618.164421228624,0.0,0.0,8025211540.215601,6511.483954921596,0.0,0.0
9434.317209,500.598,70.4826,500.162,91.7766,7100546917.581379,7138.418175217898,0.0,0.0,7291258790.05484,8559.139019356104,0.0,0.0,7852917708.877321,5608.946499023808,0.0,0.0,8025224705.121517,6508.25201476186,0.0,0.0
9439.134794,497.159,70.4783,500.15,91.6008,7100558485.761657,7136.155740326429,0.0,0.0,7291270811.602891,8553.329369083864,0.0,0.0,7852931103.133875,5602.153842358404,0.0,0.0,8025237971.612081,6501.208127039906,0.0,0.0
9443.992382,501.228,70.4757,500.196,91.4306,7100571150.944582,7119.178826323574,0.0,0.0,7291283343.471641,8542.942890035314,0.0,0.0,7852944651.823288,5594.500123091138,0.0,0.0,8025251934.401322,6493.423030704347,0.0,0.0
9448.849882,492.154,70.4733,500.11,91.2589,7100582642.575589,7112.019615746404,0.0,0.0,7291295804.07534,8534.439479397432,0.0,0.0,7852958201.940601,5588.388593346406,0.0,0.0,8025265165.239619,6482.843408401993,0.0,0.0
9453.707784,500.608,70.4715,500.149,91.101,7100594499.23381,7108.831669293933,0.0,0.0,7291308294.117066,8514.715326810521,0.0,0.0,7852971514.6944685,5583.82202354362,0.0,0.0,8025278887.383753,6477.433311417583,0.0,0.0
9458.565171,499.548,70.4687,500.159,90.9203,7100606605.647488,7101.636660881382,0.0,0.0,7291320164.567914,8516.141975880417,0.0,0.0,7852984980.740007,5578.199972775054,0.0,0.0,8025292456.355658,6469.685095639148,0.0,0.0
9463.423151,480.978,70.466,499.966,90.7466,7100618958.090002,7088.989490266383,0.0,0.0,7291332216.874161,8500.167529559723,0.0,0.0,7852998030.575564,5571.267604289025,0.0,0.0,8025306354.69939,6458.786871201351,0.0,0.0
9468.270578,499.034,70.4643,499.878,90.5585,7100630592.323635,7082.678154077343,0.0,0.0,7291344548.683909,8479.14924350697,0.0,0.0,7853011988.41412,5562.549478267462,0.0,0.0,8025320482.769476,6449.2956015034115,0.0,0.0
9473.157949,481.646,70.4608,499.841,90.3857,7100642149.103188,7073.498420451507,0.0,0.0,7291357597.554949,8469.976103824692,0.0,0.0,7853025817.014316,5554.267799347515,0.0,0.0,8025334062.798657,6437.908262155941,0.0,0.0
9478.035508,500.383,70.4541,499.798,90.2131,7100654559.781779,7064.119429283808,0.0,0.0,7291369714.4584055,8456.93000463804,0.0,0.0,7853039411.259365,5545.216327874698,0.0,0.0,8025348031.029881,6427.041081178173,0.0,0.0
9482.942883,501.136,70.4352,499.835,90.0245,7100667814.381284,7055.7966338814,0.0,0.0,7291382653.572524,8453.704558380196,0.0,0.0,7853053509.187939,5534.728993061758,0.0,0.0,8025362417.444181,6418.615267217911,0.0,0.0
9487.810346,501.462,70.4165,499.831,89.8271,7100680300.364052,7035.110931583899,0.0,0.0,7291395005.9311075,8408.817271348313,0.0,0.0,7853067278.810787,5524.037691804522,0.0,0.0,8025376768.791248,6403.919677434532,0.0,0.0
9492.687821,500.365,70.3894,499.864,89.6157,7100692602.474459,7026.424493949123,0.0,0.0,7291407453.235303,8402.761359589682,0.0,0.0,7853081641.584604,5513.54328399727,0.0,0.0,8025390949.256779,6388.5886524109355,0.0,0.0
9497.525311,501.595,70.3657,499.825,89.4097,7100705156.041934,7011.9903008854335,0.0,0.0,7291420916.432447,8381.069286783422,0.0,0.0,7853095664.683675,5501.669637162472,0.0,0.0,8025407103.918273,6373.130881057729,0.0,0.0
9502.362748,502.17,70.332,499.817,89.2018,7100718942.002992,6997.179958007077,0.0,0.0,7291434282.329436,8364.119266258384,0.0,0.0,7853112100.377171,5483.250620518344,0.0,0.0,8025421967.45041,6354.889816644855,0.0,0.0
9507.220146,502.192,70.2987,499.617,89.001,7100731714.258769,6979.014987585167,0.0,0.0,7291448293.670689,8333.504655204568,0.0,0.0,7853127424.469405,5470.7398510770045,0.0,0.0,8025437521.493177,6332.53417642749,0.0,0.0
