time,temp1,temp2,temp3,temp4,Mode1_f0,Mode1_ql,Mode1_c1,Mode1_c2
39790.778484,328.592,42.0222,501.626,12.021,7106267826.203329,60070.66771047116,0.0,0.0
39792.869746,330.622,42.02,501.598,12.0205,7106267742.109868,60064.75679843764,0.0,0.0
39794.980895,332.987,42.0206,501.579,12.0229,7106267736.811818,60071.138198727975,0.0,0.0
39797.251919,336.134,42.0231,501.493,12.0223,7106267732.992636,60095.63316726713,0.0,0.0
39799.362386,343.807,42.0231,501.477,12.0218,7106267734.114059,60056.998556318606,0.0,0.0
39801.483445,346.333,42.0211,501.463,12.0227,7106267701.514226,60052.27172817602,0.0,0.0
39803.584421,351.446,42.0206,501.491,12.0226,7106267785.949773,60081.498487791236,0.0,0.0
39805.685391,357.089,42.0175,501.528,12.0216,7106267808.609293,60065.689634564114,0.0,0.0
39807.786602,363.855,42.0211,501.546,12.021,7106267750.230457,60072.71551016379,0.0,0.0
39809.888499,360.813,42.0175,501.576,12.0212,7106267738.136228,60066.537020198986,0.0,0.0
39811.989333,363.01,42.019,501.551,12.0205,7106267795.2551775,60002.668213736055,0.0,0.0
39814.090233,363.315,42.0206,501.582,12.0186,7106267728.410918,60096.285499248355,0.0,0.0
39816.181116,359.495,42.0206,501.623,12.0195,7106267755.985123,60064.16016309144,0.0,0.0
39818.472325,360.013,42.0238,501.628,12.0182,7106267703.552573,60059.072736486,0.0,0.0
39820.583579,351.679,42.0196,501.585,12.0189,7106267743.308788,60070.454713201834,0.0,0.0
39822.684815,341.864,42.018,501.541,12.0198,7106267750.285087,60093.59052367714,0.0,0.0
39824.78636,343.429,42.0196,501.508,12.0193,7106267762.050018,60089.656978226485,0.0,0.0
39826.877351,346.515,42.018,501.481,12.0176,7106267735.304567,60098.52465501809,0.0,0.0
39828.978569,344.196,42.019,501.449,12.018,7106267713.658115,60036.57179921284,0.0,0.0
39831.080334,348.545,42.019,501.362,12.0183,7106267734.953985,60057.694440900064,0.0,0.0
39833.171611,348.291,42.0175,501.29,12.016,7106267737.836162,60076.72608504429,0.0,0.0
39835.272234,355.116,42.018,501.269,12.0174,7106267663.853003,60046.830023261,0.0,0.0
39837.382984,359.007,42.018,501.254,12.0162,7106267661.250293,60077.19925630614,0.0,0.0
39839.674592,362.062,42.017,501.248,12.0161,7106267743.622963,60092.82169770206,0.0,0.0
39841.785836,361.398,42.016,501.22,12.0165,7106267754.950933,60025.51142716619,0.0,0.0
39843.886825,366.226,42.0175,501.241,12.0153,7106267665.6504545,59991.128988103046,0.0,0.0
39845.977994,364.91,42.0144,501.337,12.0163,7106267768.019037,60071.63304879091,0.0,0.0
39848.078632,359.11,42.0148,501.392,12.0151,7106267738.614832,60050.76266022026,0.0,0.0
39850.169634,356.75,42.0164,501.453,12.0158,7106267738.468289,60030.54430455942,0.0,0.0
39852.280419,349.423,42.0196,501.485,12.0142,7106267721.609007,60017.38974133152,0.0,0.0
39854.381977,350.609,42.016,501.452,12.0159,7106267742.731388,60072.211956871506,0.0,0.0
39856.483393,342.924,42.017,501.416,12.0134,7106267778.395037,60103.182801259456,0.0,0.0
39858.564721,338.621,42.0139,501.337,12.0127,7106267762.579804,60001.550655986975,0.0,0.0
39860.846207,336.882,42.017,501.269,12.0136,7106267786.3553505,60068.41135273588,0.0,0.0
39862.927225,336.167,42.016,501.21,12.0123,7106267713.791723,60095.283025562625,0.0,0.0
39865.017793,331.236,42.0164,501.171,12.0119,7106267761.4003935,60075.732122273446,0.0,0.0
39867.11895,331.25,42.017,501.136,12.0103,7106267683.829478,60038.681181040556,0.0,0.0
39869.219761,332.895,42.017,501.063,12.0107,7106267654.013158,60039.972753861955,0.0,0.0
39871.330629,333.809,42.0144,501.01,12.0105,7106267754.570026,60075.696470418574,0.0,0.0
39873.431964,344.439,42.016,501.003,12.01,7106267791.183767,60069.71052636341,0.0,0.0
39875.533318,354.219,42.0148,500.985,12.0095,7106267751.235388,60058.82200216105,0.0,0.0
39877.634713,357.02,42.0144,500.982,12.0097,7106267747.483171,60088.57559911599,0.0,0.0
39879.73581,346.841,42.0144,500.988,12.01,7106267742.858051,60049.71634299268,0.0,0.0
39881.996369,355.158,42.0133,500.951,12.0093,7106267818.425976,60033.69587242661,0.0,0.0
39884.097421,358.466,42.0139,500.914,12.0097,7106267796.813954,60025.19146285941,0.0,0.0
39886.208634,352.557,42.0148,500.899,12.0078,7106267794.153856,60108.76082887255,0.0,0.0
